ACCOUNT_ID,ACCOUNT_NAME,MODE
1,CTS001,I
2,CTS002,I
3,CTS003,I
4,CTS004,I
5,CTS005,I
6,CTS006,I
7,CTS007,I
8,CTS008,I
9,CTS009,I
10,CTS010,I
11,CTS011,I
12,CTS012,I
13,CTS013,I
14,CTS014,I
15,CTS015,I
16,CTS016,I
17,CTS017,I
18,CTS018,I
19,CTS019,I
20,CTS020,I
21,CTS021,I
22,CTS022,I
23,CTS023,I
24,CTS024,I
25,CTS025,I
26,CTS026,I
27,CTS027,I
28,CTS028,I
29,CTS029,I
30,CTS030,I
31,CTS031,I
32,CTS032,I
33,CTS033,I
34,CTS034,I
3,CTS003,U
4,CTSU004,U
5,CTSU005,U
6,CTSU006,U
7,CTSU007,U
8,CTSU008,U
9,CTSU009,U
10,CTSU010,U
11,CTSU011,U
12,CTSU012,U
13,CTSU013,U
14,CTSU014,U
15,CTSU015,U
29,CTS029,D
30,CTS030,D
31,CTS031,D
32,CTS032,D
33,CTS033,D
34,CTS034,D
3,CTS003,D
4,CTSU004,D
5,CTSU005,D
