ACCOUNT_ID,ACCOUNT_NAME,MODE
1,KOHLS001,I
2,KOHLS002,I
3,KOHLS003,I
4,KOHLS004,I
5,KOHLS005,I
6,KOHLS006,I
7,KOHLS007,I
8,KOHLS008,I
9,KOHLS009,I
10,KOHLS010,I
11,KOHLS011,I
12,KOHLS012,I
13,KOHLS013,I
14,KOHLS014,I
15,KOHLS015,I
16,KOHLS016,I
17,KOHLS017,I
18,KOHLS018,I
19,KOHLS019,I
20,KOHLS020,I
21,KOHLS021,I
22,KOHLS022,I
23,KOHLS023,I
24,KOHLS024,I
25,KOHLS025,I
26,KOHLS026,I
27,KOHLS027,I
28,KOHLS028,I
29,KOHLS029,I
30,KOHLS030,I
31,KOHLS031,I
32,KOHLS032,I
33,KOHLS033,I
34,KOHLS034,I
3,KOHLS003,U
4,KOHLSU004,U
5,KOHLSU005,U
6,KOHLSU006,U
7,KOHLSU007,U
8,KOHLSU008,U
9,KOHLSU009,U
10,KOHLSU010,U
11,KOHLSU011,U
12,KOHLSU012,U
13,KOHLSU013,U
14,KOHLSU014,U
15,KOHLSU015,U
29,KOHLS029,D
30,KOHLS030,D
31,KOHLS031,D
32,KOHLS032,D
33,KOHLS033,D
34,KOHLS034,D
3,KOHLS003,D
4,KOHLSU004,D
5,KOHLSU005,D
