ACCOUNT_ID,ACCOUNT_NAME,MODE
T1,TCS001,I
T2,TCS002,I
T3,TCS003,I
T4,TCS004,I
T5,TCS005,I
T6,TCS006,I
T7,TCS007,I
T8,TCS008,I
T9,TCS009,D
T10,TCS010,I
T11,TCS011,I
T12,TCS012,I
T13,TCS013,I
T14,TCS014,I
T15,TCS015,U
T16,TCS016,I
T17,TCS017,I
T18,TCS018,I
T19,TCS019,R
T20,TCS020,D
T21,TCS021,I
T22,TCS022,I
T23,TCS023,U
T24,TCS024,U
T25,TCS025,I
T3,TCS003,U
T4,TCSU004,U
T5,TCSU005,U
T6,TCSU006,U
T7,TCSU007,U
T8,TCSU008,U
T9,TCSU009,U
T10,TCSU010,U
T11,TCSU011,U
T12,TCSU012,U
T13,TCSU013,U
T14,TCSU014,U
T15,TCSU015,U
T7,TCS007,D
T8,TCS008,D
T9,TCS009,D
